longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,median_house_value (Predicted),ocean_proximity
-121.46,38.52,29,3873,797,2237,706,2.1736,80228,72100,INLAND
-117.23,33.09,7,5320,855,2015,768,6.3373,362445.08,279600,NEAR OCEAN
-119.04,35.37,44,1618,310,667,300,2.875,78901,82700,INLAND
-117.13,32.75,24,1877,519,898,483,2.2264,166452.03,112500,NEAR OCEAN
-118.7,34.28,27,3536,646,1837,580,4.4964,206343,238300,<1H OCEAN
-122.04,37.96,28,1207,252,724,252,3.6964,178208.01,165700,NEAR BAY
-122.03,37.33,23,4221,671,1782,641,7.4863,391048.05,412300,<1H OCEAN
-118.31,34.2,36,1692,263,778,278,5.0865,280129,349600,<1H OCEAN
-121.95,37.27,17,1330,271,408,258,1.7171,206590.02,181300,<1H OCEAN
-118.28,34.02,29,515,229,2690,217,0.4999,201159,500001,<1H OCEAN
-121.54,39.08,23,1076,216,724,197,2.3598,111847,57500,INLAND
-117.99,33.69,12,2480,858,1441,788,1.6705,153290,350000,<1H OCEAN
-116.39,33.69,10,11659,2007,2186,1083,6.9833,261074,238800,INLAND
-119.83,36.78,30,3162,640,1660,639,2.8359,82181,80300,INLAND
-117.22,32.83,31,2558,512,1164,492,3.4318,282246.12,200400,NEAR OCEAN
-121.88,37.37,14,6016,1404,3258,1316,3.5745,217290,333700,<1H OCEAN
-118.08,33.93,39,1478,324,1127,320,3.525,165736,158000,<1H OCEAN
-117.91,33.65,17,1328,377,762,344,2.2222,211962.04,276800,<1H OCEAN
-122.53,37.9,44,2846,551,1232,537,3.8839,313269.06,327200,NEAR BAY
-117.86,33.79,42,1024,191,483,187,4.105,191878.02,194500,<1H OCEAN
-117.26,34.48,6,4632,753,1851,694,4.1933,131521,163100,INLAND
-122.28,37.91,48,2083,298,685,286,7.3089,378214.15,331200,NEAR BAY
-121.23,38.79,45,907,176,463,190,2.2292,83375,92000,INLAND
-117.94,34.1,31,1239,254,929,244,3.3625,186022,153400,<1H OCEAN
-120.96,39.12,24,2069,436,909,374,2.5326,111949,139100,INLAND
-117.35,33.98,31,4163,1242,3928,1076,1.6943,81965,85900,INLAND
-119.03,34.24,25,3655,545,1776,544,5.687,265537.01,238100,<1H OCEAN
-117,32.77,30,1802,401,776,386,2.8125,149518.01,173500,<1H OCEAN
-120.84,35.31,23,3100,603,1515,609,2.8493,212066.01,196100,NEAR OCEAN
-118.33,34.08,50,2989,832,1345,775,3.2426,319326.07,442900,<1H OCEAN
-118.05,33.81,26,2523,437,1377,450,5.2542,248416.01,234600,<1H OCEAN
-117.94,34.08,32,2704,514,1669,497,4.4653,189723,195400,<1H OCEAN
-118.8,34.27,12,3330,600,1577,584,4.6985,232891.01,264100,<1H OCEAN
-122,37.27,33,1664,271,759,272,5.7876,307483.01,415800,<1H OCEAN
